map,scen,agents,seed,variant,solved,soc,makespan,lb,time_ms,forward_calls,rebuilds
random32-20,random-32-32-20-random-1,100,0,tb_start_w10,False,-1,-1,2253,20000.5,100,1
random32-20,random-32-32-20-random-1,100,1,tb_start_w10,False,-1,-1,2253,20000.6,100,1
random32-20,random-32-32-20-random-1,200,1,pen0.1_step_w10,True,6845,99,4429,2858.4,57800,289
random32-20,random-32-32-20-random-1,200,2,vanilla,True,7536,99,4429,1508.6,0,0
random32-20,random-32-32-20-random-2,50,0,vanilla,True,1224,51,1099,39.6,0,0
random32-20,random-32-32-20-random-2,50,0,tb_step_w10,True,1208,51,1099,347.2,2550,51
random32-20,random-32-32-20-random-2,50,0,tb_agent_w10,True,1208,51,1099,581.5,5101,51
random32-20,random-32-32-20-random-2,50,0,tb_start_w10,True,1229,51,1099,113.3,50,1
random32-20,random-32-32-20-random-1,150,1,pen0.1_step_w10,True,5461,123,3485,18956.0,1219050,8127
random32-20,random-32-32-20-random-2,50,0,pen0.1_step_w10,True,1208,51,1099,218.6,2550,51
random32-20,random-32-32-20-random-2,50,0,tb_step_wall,True,1189,51,1099,570.2,2550,51
random32-20,random-32-32-20-random-2,50,1,vanilla,True,1252,51,1099,21.5,0,0
random32-20,random-32-32-20-random-2,50,1,tb_step_w10,True,1190,51,1099,341.9,2550,51
random32-20,random-32-32-20-random-2,50,1,tb_agent_w10,True,1198,51,1099,351.3,5101,51
random32-20,random-32-32-20-random-1,150,1,tb_start_w10,False,-1,-1,3485,20001.1,150,1
random32-20,random-32-32-20-random-2,50,1,tb_start_w10,True,1242,51,1099,113.3,50,1
random32-20,random-32-32-20-random-2,50,2,vanilla,True,1271,51,1099,40.2,0,0
random32-20,random-32-32-20-random-2,50,1,tb_step_wall,True,1194,51,1099,345.0,2550,51
random32-20,random-32-32-20-random-2,50,1,pen0.1_step_w10,True,1190,51,1099,357.8,2550,51
random32-20,random-32-32-20-random-2,50,2,tb_start_w10,True,1225,51,1099,113.9,50,1
random32-20,random-32-32-20-random-2,50,2,tb_step_w10,True,1183,51,1099,341.1,2550,51
random32-20,random-32-32-20-random-1,200,2,tb_step_w10,True,7093,118,4429,3742.7,121400,607
random32-20,random-32-32-20-random-2,50,2,tb_agent_w10,True,1182,51,1099,347.0,5101,51
random32-20,random-32-32-20-random-2,100,0,vanilla,True,2994,63,2232,96.2,0,0
random32-20,random-32-32-20-random-2,50,2,pen0.1_step_w10,True,1183,51,1099,351.9,2550,51
random32-20,random-32-32-20-random-2,50,2,tb_step_wall,True,1189,51,1099,528.7,2550,51
